,set_number,start_date,end_date,start_latitude,start_longitude,end_latitude,end_longitude,id
181,182,2023-07-05 16:54:48+00:00,2023-07-06 15:59:29+00:00,46.4931575,-63.75869216666667,46.49313316666667,-63.75865483333333,532
182,183,2023-07-05 17:08:28+00:00,2023-07-06 16:12:28+00:00,46.47123533333333,-63.73036316666666,46.47104433333333,-63.73023400000001,533
183,184,2023-07-05 17:19:47+00:00,2023-07-06 16:22:38+00:00,46.4541015,-63.754931166666665,46.45403399999999,-63.75510033333333,534
184,185,2023-07-05 17:31:56+00:00,2023-07-06 16:33:43+00:00,46.470865,-63.79020233333333,46.47100233333333,-63.78992333333334,535
185,186,2023-07-05 18:00:34+00:00,2023-07-06 16:57:59+00:00,46.5540835,-63.79074716666667,46.5541915,-63.7907405,536
186,187,2023-07-05 18:35:23+00:00,2023-07-06 17:20:58+00:00,46.534694,-63.76240333333333,46.53479983333333,-63.76246933333333,537
187,188,2023-07-05 18:52:39+00:00,2023-07-06 17:34:52+00:00,46.519144,-63.736397,46.51857183333333,-63.736264333333324,538
188,189,2023-07-05 19:15:53+00:00,2023-07-06 17:52:25+00:00,46.5549265,-63.730220833333334,46.5547825,-63.73070583333333,539
189,190,2023-07-06 08:48:12+00:00,2023-07-07 08:43:57+00:00,46.596823,-63.5498585,46.59657833333333,-63.549958,540
190,191,2023-07-06 09:00:24+00:00,2023-07-07 08:55:19+00:00,46.6188715,-63.577995333333334,46.618535333333334,-63.57799816666667,542
191,192,2023-07-06 09:13:04+00:00,2023-07-07 09:06:17+00:00,46.63756066666666,-63.60977416666667,46.63747716666666,-63.610100833333334,543
192,193,2023-07-06 09:24:04+00:00,2023-07-07 09:17:58+00:00,46.66035133333334,-63.63856416666667,46.660156333333326,-63.63828000000001,544
193,194,2023-07-06 09:34:38+00:00,2023-07-07 09:28:27+00:00,46.679617,-63.67091533333333,46.67950716666667,-63.67044116666666,545
194,195,2023-07-06 09:45:12+00:00,2023-07-07 09:38:19+00:00,46.701678666666666,-63.6991575,46.70151366666667,-63.698890666666664,546
